kingdom,aa,n,expected_frequency
Viruses,V,40,3.0878857978630195e-48
Viruses,V,41,2.010781727896792e-49
Viruses,V,42,1.3093888252090626e-50
Viruses,V,43,8.526530114114753e-52
Viruses,V,44,5.552339716607698e-53
Viruses,V,45,3.615594610706414e-54
Viruses,V,46,2.3544172468171964e-55
Viruses,V,47,1.5331587661115643e-56
Viruses,V,48,9.983684095426774e-58
Viruses,V,49,6.501215028765293e-59
Viruses,V,50,4.2334870020180625e-60
Viruses,O,1,0.0
Viruses,O,2,0.0
Viruses,O,3,0.0
Viruses,O,4,0.0
Viruses,O,5,0.0
Viruses,O,6,0.0
Viruses,O,7,0.0
Viruses,O,8,0.0
Viruses,O,9,0.0
